bashoId,fromRankLabel,toRankLabel,wins,losses,absences,juryoLowMakekoshi,juryoLowCollapse,makushitaUpper5FivePlus,promotionPressure,demotionPressure,promotionsToJuryo,demotionsToMakushita
196207,東幕下1枚目,西十両18枚目,4,3,0,15,5,5,13,20,4,4
196009,東幕下1枚目,西十両19枚目,4,3,0,11,2,2,12,13,3,2
196305,西幕下2枚目,西十両18枚目,4,3,0,11,5,2,12,16,5,4
196501,西幕下2枚目,西十両18枚目,4,3,0,13,8,1,11,21,3,3
196303,東幕下1枚目,東十両17枚目,4,3,0,14,6,4,12,20,4,4
196105,東幕下1枚目,西十両18枚目,4,3,0,13,5,2,16,18,3,2
196311,西幕下2枚目,西十両18枚目,4,3,0,13,4,1,11,17,4,2
196403,西幕下1枚目,東十両18枚目,4,3,0,13,8,4,13,21,5,5
196203,東幕下1枚目,東十両17枚目,4,3,0,11,3,2,13,14,6,4
196211,西幕下1枚目,東十両18枚目,4,3,0,13,5,3,12,18,3,2
196011,東幕下1枚目,西十両19枚目,4,3,0,10,4,3,12,14,3,3
196101,西幕下1枚目,西十両18枚目,4,3,0,12,5,3,13,17,3,1
196507,東幕下2枚目,東十両18枚目,4,3,0,13,5,2,15,18,6,6
196203,西幕下3枚目,西十両17枚目,4,3,0,11,3,2,13,14,6,4
196205,東幕下1枚目,東十両18枚目,4,3,0,13,4,2,13,17,3,1
196803,西幕下2枚目,西十両13枚目,4,3,0,8,3,3,12,11,5,3
196503,東幕下1枚目,西十両17枚目,4,3,0,14,4,3,12,18,6,3
196901,東幕下1枚目,東十両13枚目,4,3,0,4,3,4,14,7,5,3
196209,東幕下1枚目,東十両18枚目,4,3,0,12,5,2,13,17,2,1
197007,西幕下1枚目,西十両12枚目,4,3,0,6,4,2,11,10,3,3
196311,東幕下2枚目,東十両18枚目,4,3,0,13,4,1,11,17,4,2
196507,東幕下1枚目,東十両17枚目,4,3,0,13,5,2,15,18,6,6
196705,東幕下1枚目,東十両12枚目,4,3,0,8,1,3,11,9,4,3
196801,東幕下1枚目,西十両13枚目,4,3,0,6,2,1,10,8,3,2
196407,東幕下1枚目,西十両18枚目,4,3,0,13,4,2,10,17,3,3
196611,西幕下1枚目,西十両18枚目,4,3,0,13,6,2,11,19,3,2
196907,西幕下1枚目,東十両13枚目,4,3,0,5,3,2,13,8,5,2
196507,西幕下2枚目,西十両18枚目,4,3,0,13,5,2,15,18,6,6
196805,西幕下1枚目,西十両13枚目,4,3,0,7,1,0,8,8,2,1
196803,東幕下1枚目,西十両12枚目,4,3,0,8,3,3,12,11,5,3
197005,西幕下2枚目,西十両13枚目,4,3,0,5,1,2,11,6,3,1
197403,西幕下1枚目,東十両12枚目,4,3,0,7,2,4,14,9,5,4
197207,東幕下2枚目,東十両12枚目,4,3,0,7,3,1,10,10,3,2
197107,西幕下2枚目,西十両13枚目,4,3,0,9,5,2,15,14,5,5
197309,東幕下1枚目,西十両12枚目,4,3,0,6,4,3,13,10,4,4
197107,東幕下1枚目,西十両12枚目,4,3,0,9,5,2,15,14,5,5
197411,東幕下1枚目,東十両13枚目,4,3,0,6,1,2,13,7,4,3
197407,東幕下1枚目,西十両13枚目,4,3,0,5,0,2,11,5,3,1
197411,西幕下1枚目,西十両13枚目,4,3,0,6,1,2,13,7,4,3
197107,東幕下2枚目,東十両13枚目,4,3,0,9,5,2,15,14,5,5
197011,東幕下2枚目,西十両13枚目,4,3,0,7,3,1,11,10,2,2
