bashoId,fromRankLabel,toRankLabel,wins,losses,absences,juryoLowMakekoshi,juryoLowCollapse,makushitaUpper5FivePlus,promotionPressure,demotionPressure,promotionsToJuryo,demotionsToMakushita
196301,西幕下20枚目,東幕下14枚目,5,2,0,13,3,4,11,16,2,2
196101,西幕下9枚目,西幕下3枚目,5,2,0,12,5,3,13,17,3,1
196101,西幕下23枚目,東幕下9枚目,6,1,0,12,5,3,13,17,3,1
196201,東幕下20枚目,西幕下9枚目,5,2,0,14,4,4,11,18,3,1
196203,西幕下9枚目,西幕下2枚目,5,2,0,11,3,2,13,14,6,4
196109,西幕下26枚目,西幕下10枚目,6,1,0,12,4,4,12,16,1,0
196207,東幕下20枚目,東幕下15枚目,5,2,0,15,5,5,13,20,4,4
196007,東幕下1枚目,東幕下1枚目,5,2,0,16,5,2,12,21,2,2
196009,東幕下6枚目,西幕下3枚目,5,2,0,11,2,2,12,13,3,2
196101,東幕下8枚目,西幕下2枚目,5,2,0,12,5,3,13,17,3,1
196109,東幕下2枚目,東幕下2枚目,5,2,0,12,4,4,12,16,1,0
196207,西幕下14枚目,西幕下5枚目,5,2,0,15,5,5,13,20,4,4
196209,西幕下5枚目,東幕下1枚目,5,2,0,12,5,2,13,17,2,1
196307,西幕下10枚目,東幕下4枚目,5,2,0,10,5,2,11,15,2,2
196605,東幕下28枚目,東幕下20枚目,5,2,0,10,3,3,12,13,4,3
196101,西幕下26枚目,西幕下17枚目,5,2,0,12,5,3,13,17,3,1
196103,西幕下17枚目,東幕下10枚目,5,2,0,11,5,3,15,16,3,2
196105,東幕下10枚目,東幕下5枚目,5,2,0,13,5,2,16,18,3,2
196105,西幕下12枚目,西幕下3枚目,6,1,0,13,5,2,16,18,3,2
196109,西幕下3枚目,西幕下1枚目,6,1,0,12,4,4,12,16,1,0
196111,東幕下27枚目,西幕下16枚目,5,2,0,11,3,3,9,14,2,0
196301,東幕下23枚目,東幕下17枚目,5,2,0,13,3,4,11,16,2,2
196007,東幕下9枚目,西幕下3枚目,5,2,0,16,5,2,12,21,2,2
196111,東幕下21枚目,西幕下11枚目,5,2,0,11,3,3,9,14,2,0
196409,東幕下21枚目,西幕下10枚目,5,2,0,13,5,3,13,18,4,3
196411,西幕下10枚目,西幕下2枚目,5,2,0,11,7,3,12,18,5,4
196011,西幕下28枚目,西幕下20枚目,5,2,0,10,4,3,12,14,3,3
196207,西幕下23枚目,東幕下11枚目,6,1,0,15,5,5,13,20,4,4
196211,西幕下5枚目,西幕下1枚目,5,2,0,13,5,3,12,18,3,2
196007,東幕下12枚目,東幕下3枚目,6,1,0,16,5,2,12,21,2,2
196009,西幕下17枚目,西幕下9枚目,5,2,0,11,2,2,12,13,3,2
196111,東幕下23枚目,西幕下13枚目,5,2,0,11,3,3,9,14,2,0
196205,東幕下17枚目,東幕下4枚目,6,1,0,13,4,2,13,17,3,1
196309,東幕下18枚目,西幕下5枚目,6,1,0,12,7,4,11,19,3,3
196401,東幕下16枚目,東幕下8枚目,5,2,0,14,7,4,13,21,4,2
196009,東幕下13枚目,東幕下6枚目,5,2,0,11,2,2,12,13,3,2
