rankZone,record,sampleCount,promotedToJuryoCount,promotedToJuryoRate,notPromotedCount,notPromotedRate,avgMovement,medianMovement,p25Movement,p75Movement
Makushita_Upper_5,4-3,1038,427,41.1,611,58.9,18.21,4,1,62
Makushita_Upper_5,5-2,677,530,78.3,147,21.7,33.97,18,4,65
Makushita_Upper_5,6-1,244,230,94.3,14,5.7,42.86,63,7,77
Makushita_Upper_5,7-0,79,79,100.0,0,0.0,41.51,20,8,78
Makushita_Upper_15,4-3,2058,6,0.3,2052,99.7,5.0,3,1,61
Makushita_Upper_15,5-2,1196,14,1.2,1182,98.8,4.67,6,-50,11
Makushita_Upper_15,6-1,394,38,9.6,356,90.4,14.49,9,5,66
Makushita_Upper_15,7-0,103,100,97.1,3,2.9,53.53,69,22,84
Makushita_Upper_30,4-3,3097,0,0.0,3097,100.0,6.08,6,2,13
Makushita_Upper_30,5-2,1841,0,0.0,1841,100.0,8.31,10,-45,14
Makushita_Upper_30,6-1,633,0,0.0,633,100.0,16.87,15,-39,72
Makushita_Upper_30,7-0,74,15,20.3,59,79.7,33.26,24,17,78
