rikishi_id,shikona,highest_rank_name,debut_basho,last_basho,debut_year,last_year,career_wins,career_losses,career_absences,career_appearances,career_bashos,win_rate,win_rate_bucket,career_bashos_bucket,career_year_span,is_low_win_long_career
1,曙 太郎,横綱,昭和63年3月,平成13年1月,1988,2001.0,654,232,181,882,78,0.7381489841986456,>=0.65,60-89,13.0,False
2,貴乃花 光司,横綱,昭和63年3月,平成15年1月,1988,2003.0,794,262,201,1049,90,0.7518939393939394,>=0.65,90-119,15.0,False
3,若乃花 勝,横綱,昭和63年3月,平成12年3月,1988,2000.0,573,286,124,850,73,0.6670547147846333,>=0.65,60-89,12.0,False
4,武蔵丸 光洋,横綱,平成元年9月,平成15年11月,1989,2003.0,779,294,115,1068,86,0.7260018639328985,>=0.65,60-89,14.0,False
5,貴ノ浪 貞博,大関,昭和62年3月,平成16年5月,1987,2004.0,777,559,13,1334,104,0.5815868263473054,0.55-0.59,90-119,17.0,False
6,武双山 正士,大関,平成5年1月,平成16年11月,1993,2004.0,554,377,122,921,72,0.5950590762620838,0.55-0.59,60-89,11.0,False
7,魁皇 博之,大関,昭和63年3月,平成23年7月,1988,2011.0,1047,700,158,1731,140,0.5993131081854608,0.55-0.59,>=120,23.0,False
8,千代大海 龍二,大関,平成4年11月,平成22年1月,1992,2010.0,771,528,115,1288,104,0.5935334872979214,0.55-0.59,90-119,18.0,False
9,安芸乃島 勝巳,関脇,昭和57年3月,平成15年5月,1982,2003.0,822,757,78,1575,128,0.5205826472450918,0.50-0.54,>=120,21.0,False
10,栃乃洋 泰一,関脇,平成8年1月,平成24年1月,1996,2012.0,669,700,31,1366,96,0.48867786705624544,0.45-0.49,90-119,16.0,False
11,蒼樹山 秀樹,前頭,昭和60年3月,平成15年11月,1985,2003.0,628,645,74,1267,113,0.49332285938727416,0.45-0.49,90-119,18.0,False
12,琴錦 功宗,関脇,昭和59年3月,平成12年9月,1984,2000.0,663,557,58,1216,100,0.5434426229508197,0.50-0.54,90-119,16.0,False
13,土佐ノ海 敏生,関脇,平成6年3月,平成23年1月,1994,2011.0,732,735,16,1466,101,0.49897750511247446,0.45-0.49,90-119,17.0,False
14,琴ノ若 晴將,関脇,昭和59年5月,平成17年11月,1984,2005.0,782,764,100,1541,130,0.5058214747736093,0.50-0.54,>=120,21.0,False
15,小城錦 康年,小結,昭和62年3月,平成16年1月,1987,2004.0,605,585,107,1185,102,0.5084033613445378,0.50-0.54,90-119,17.0,False
16,湊富士 孝行,前頭,昭和59年3月,平成14年9月,1984,2002.0,601,631,41,1231,112,0.4878246753246753,0.45-0.49,90-119,18.0,False
17,玉春日 良二,関脇,平成6年1月,平成20年9月,1994,2008.0,603,636,39,1235,89,0.48668280871670705,0.45-0.49,60-89,14.0,False
18,貴闘力 忠茂,関脇,昭和58年3月,平成14年9月,1983,2002.0,754,703,0,1456,118,0.5175017158544956,0.50-0.54,90-119,19.0,False
19,栃東 大裕,大関,平成6年11月,平成19年5月,1994,2007.0,560,317,169,867,75,0.6385404789053591,0.60-0.64,60-89,13.0,False
20,敷島 勝盛,前頭,平成元年1月,平成13年5月,1989,2001.0,416,418,38,832,75,0.4988009592326139,0.45-0.49,60-89,12.0,False
21,旭豊 勝照,小結,昭和62年3月,平成11年1月,1987,1999.0,364,341,26,704,71,0.5163120567375886,0.50-0.54,60-89,12.0,False
22,五城楼 勝洋,前頭,平成元年11月,平成17年11月,1989,2005.0,504,446,146,942,97,0.5305263157894737,0.50-0.54,90-119,16.0,False
23,栃乃和歌 清隆,関脇,昭和60年3月,平成11年7月,1985,1999.0,588,621,24,1207,87,0.48635235732009924,0.45-0.49,60-89,14.0,False
24,巌雄 謙治,前頭,昭和61年3月,平成12年5月,1986,2000.0,400,382,53,779,86,0.5115089514066496,0.50-0.54,60-89,14.0,False
25,濱ノ嶋 啓志,小結,平成4年1月,平成16年5月,1992,2004.0,447,495,23,941,75,0.4745222929936306,0.45-0.49,60-89,12.0,False
26,肥後ノ海 直哉,前頭,平成4年1月,平成14年11月,1992,2002.0,407,476,80,878,66,0.4609286523216308,0.45-0.49,60-89,10.0,False
